map,killer,escapes,escape,perk1,perk2,perk3,perk4,item,addon1,addon2,offering,pips,swf
The Pale Rose,Trapper,4,Y,Saboteur (V),Resilience (V),Borrowed Time (V),Dead Hard (R),Engineer's Toolbox (V),,,Vigo's Shroud (U),1,N
Wreckers Yard,Nemesis,0,N,Saboteur (V),Resilience (V),Borrowed Time (V),Kindred (V),Commodious Toolbox (R),,,Tarnished Coin (U),0,N
Blood Lodge,Doctor,4,Y,Saboteur (V),Resilience (V),Borrowed Time (V),Dead Hard (R),Toolbox (U),Scraps (C),Protective Gloves (U),Fresh Crispleaf Amaranth (U),1,N
Rotten Fields,Onryo,4,Y,Saboteur (V),Resilience (V),Borrowed Time (V),Dead Hard (R),First Aid Kit (U),Gel Dressings (R),Bandages (C),Sealed Envelope (U),1,N
Mount Ormond Resort,Trapper,1,N,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Toolbox (U),Scraps (C),Cutting Wire (U),Shroud of Union (U),-1,N
Mother's Dwelling,Pig,3,Y,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Camping Aid Kit (C),Abdominal Dressing (R),Sponge (U),Vigo's Shroud (U),1,N
Ironworks of Misery,Hag,4,Y,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Camping Aid Kit (C),Gauze Roll (U),,Black Salt Statuette (R),1,N
Mother's Dwelling,Cannibal,3,Y,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Camping Aid Kit (C),,,Primrose Blossom Sachet (C),1,N
Sanctum of Wrath,Hag,4,Y,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Commodious Toolbox (R),Clean Rag (C),,Primrose Blossom Sachet (C),0,N
Eyrie of Crows,Ghostface,0,N,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Commodious Toolbox (R),Clean Rag (C),,Primrose Blossom Sachet (C),0,N
Fractured Cowshed,Deathslinger,4,Y,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Ranger Med-Kit (V),Needle & Thread (U),,White Ward (V),1,N
Groaning Storehouse,Hag,0,N,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Ranger Med-Kit (V),Surgical Suture (R),,Escape! Cake (U),0,N
Lampkin Lane,Cenobite,1,Y,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Commodious Toolbox (R),Hacksaw (R),Scraps (C),Bound Envelope (R),0,N
Wretched Shop,Cenobite,2,N,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Camping Aid Kit (C),Needle & Thread (U),Rubber Gloves (C),Fresh Primrose Blossom (U),-1,N
The Temple of Purgation,Cannibal,1,Y,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Toolbox (U),Protective Gloves (U),Instructions (C),Vigo's Jar of Salty Lips (V),1,N
Family Residence,Hillbilly,4,Y,Borrowed Time (V),Resilience (V),Dead Hard (V),Spine Chill (V),Camping Aid Kit (C),Needle & Thread (U),Rubber Gloves (C),Fresh Primrose Blossom (U),0,N
Badham Preschool IV,Demogorgon,1,N,Borrowed Time (V),Guardian (V),Dead Hard (V),Spine Chill (V),Alex's Toolbox (V),Grip Wrench (R),,White Ward (V),0,N
The Pale Rose,Nurse,0,N,Borrowed Time (V),Saboteur (U),Dead Hard (V),Spine Chill (V),Camping Aid Kit (C),Surgical Suture (R),Sponge (U),Shroud of Binding (V),0,N
The Pale Rose,Executioner,0,N,Borrowed Time (V),Saboteur (R),Dead Hard (V),Spine Chill (V),Camping Aid Kit (C),Abdominal Dressing (R),,Sealed Envelope (U),-1,N
Dead Dawg Saloon,Hillbilly,3,Y,Borrowed Time (V),Saboteur (R),Dead Hard (V),Spine Chill (V),Camping Aid Kit (C),Rubber Gloves (C),,Fresh Crispleaf Amaranth (U),1,N
Suffocation Pit,Pig,0,N,Borrowed Time (V),Saboteur (V),Dead Hard (V),Spine Chill (V),Camping Aid Kit (C),Rubber Gloves (C),,Fresh Crispleaf Amaranth (U),0,N
Mount Ormond Resort,Wraith,0,N,Borrowed Time (V),Saboteur (V),Dead Hard (V),Spine Chill (V),Camping Aid Kit (C),Surgical Suture (R),Rubber Gloves (C),Fresh Bog Laurel (U),0,N
Badham Preschool IV,Demogorgon,4,Y,Borrowed Time (V),Saboteur (V),Dead Hard (V),Spine Chill (V),Engineer's Toolbox (V),Clean Rag (C),Instructions (C),White Ward (V),1,N
Eyrie of Crows,Trapper,4,Y,Borrowed Time (V),Saboteur (V),Dead Hard (V),Spine Chill (V),Mechanics Toolbox (R),Clean Rag (C),Scraps (C),Fresh Bog Laurel (U),1,N
Dead Dawg Saloon,Legion,0,N,Borrowed Time (V),Saboteur (V),Iron Will (V),Spine Chill (V),Mechanics Toolbox (R),Instructions (C),Scraps (C),Fresh Sweet William (U),1,N
Treatment Theatre,Ghostface,0,N,Borrowed Time (V),Saboteur (V),Small Game (V),Spine Chill (V),Camping Aid Kit (C),Surgical Suture (R),Sponge (U),Fresh Crispleaf Amaranth (U),0,N
Father Campbell's Chapel,Wraith,4,Y,Borrowed Time (V),Saboteur (V),Kindred (V),Spine Chill (V),Camping Aid Kit (C),,,Primrose Blossom Sachet (C),1,N
Badham Preschool IV,Wraith,2,N,Saboteur (R),Lithe (U),Decisive Strike (U),,Camping Aid Kit (C),Medical Scissors (U),Bandages (C),Escape! Cake (U),1,N
Treatment Theatre,Deathslinger,3,Y,Borrowed Time (V),Saboteur (V),Dead Hard (V),Slippery Meat (V),Sport Flashlight (R),High-End Sapphire Lens (V),Long Life Battery (R),Cream Chalk Pouch (U),1,N
The Game,Legion,4,Y,Borrowed Time (V),Saboteur (V),Dead Hard (V),Resilience (V),Mechanics Toolbox (R),Socket Swivels (U),Scraps (C),Cream Chalk Pouch (U),1,N
Treatment Theatre,Nemesis,0,N,Borrowed Time (V),Saboteur (V),Kindred (V),Resilience (V),Mechanics Toolbox (R),Brand New Part (L),Scraps (C),Salt Pouch (U),1,N
Torment Creek,Nurse,1,N,Borrowed Time (V),Saboteur (V),Kindred (V),Resilience (V),Commodious Toolbox (R),Brand New Part (L),,Salt Pouch (U),1,N
Dead Dawg Saloon,Huntress,0,N,Borrowed Time (V),Saboteur (V),Kindred (V),Resilience (V),Engineer's Toolbox (V),Socket Swivels (U),,Petrified Oak (V),?,N
Wretched Shop,Wraith,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Engineer's Toolbox (V),,,Fragrant Crispleaf Amaranth (R),0,N
Family Residence,Trapper,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),First Aid Kit (U),Needle & Thread (U),Bandages (C),Sealed Envelope (U),1,N
Ironworks of Misery,Hillbilly,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),First Aid Kit (U),Abdominal Dressing (R),Bandages (C),Vigo's Shroud (U),1,N
Blood Lodge,Nemesis,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Mechanics Toolbox (R),Brand New Part (L),Scraps (C),Bound Envelope (R),1,N
Lampkin Lane,Cannibal,3,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Mechanics Toolbox (R),,,Sealed Envelope (U),1,N
Lampkin Lane,Nurse,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Mechanics Toolbox (R),,,Fresh Crispleaf Amaranth (U),0,N
Eyrie of Crows,Wraith,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Mechanics Toolbox (R),,,Fresh Sweet William (U),2,N
Sanctum of Wrath,Executioner,0,N,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Mechanics Toolbox (R),,,Fresh Sweet William (U),0,N
Dead Dawg Saloon,Nemesis,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Emergency Med-Kit (R),Surgical Suture (R),Butterfly Tape (C),Dusty Noose (R),0,N
Gas Heaven,Nemesis,2,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Fresh Crispleaf Amaranth (U),0,N
Eyrie of Crows,Doctor,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Emergency Med-Kit (R),,,Crow's Eye (R),2,N
Mount Ormond Resort,Onryo,0,N,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Emergency Med-Kit (R),Needle & Thread (U),Rubber Gloves (C),Fresh Sweet William (U),-1,N
Eyrie of Crows,Wraith,1,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Emergency Med-Kit (R),,,Primrose Blossom Sachet (C),1,N
The Thompson House,Huntress,-1,N,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Emergency Med-Kit (R),,,Primrose Blossom Sachet (C),0,N
Raccoon City Police Station,Wraith,3,N,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Toolbox (U),Hacksaw (R),Protective Gloves (U),Cream Chalk Pouch (U),0,N
Badham Preschool II,Nurse,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),First Aid Kit (U),Gauze Roll (U),Needle & Thread (U),Fresh Bog Laurel (U),1,N
Rancid Abattoir,Legion,0,N,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Emergency Med-Kit (R),Gel Dressings (R),Medical Scissors (U),Heart Locket (R),0,N
Lampkin Lane,Onryo,2,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Alex's Toolbox (V),Hacksaw (R),Grip Wrench (R),Strode Realty Key (R),1,N
Treatment Theatre,Twins,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Toolbox (U),Clean Rag (C),Scraps (C),Sealed Envelope (U),0,N
Groaning Storehouse,Doctor,1,N,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Commodious Toolbox (R),Brand New Part (L),Instructions (C),White Ward (V),-1,N
Lampkin Lane,Nurse,0,N,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Commodious Toolbox (R),Brand New Part (L),Instructions (C),Sweet William Sachet (C),1,N
Ironworks of Misery,Clown,1,N,Borrowed Time (V),Iron Will (V),Kindred (V),We're Gonna Live Forever (R),First Aid Kit (U),Gel Dressings (R),Surgical Suture (R),Sealed Envelope (U),0,N
Coal Tower,Spirit,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),We're Gonna Live Forever (R),Alex's Toolbox (V),Hacksaw (R),,Shroud of Binding (V),1,N
Azarov's Resting Place,Doctor,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),We're Gonna Live Forever (V),Alex's Toolbox (V),Scraps (C),Hacksaw (R),Fragrant Crispleaf Amaranth (R),1,N
Dead Dawg Saloon,Nurse,3,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Small Game (V),Alex's Toolbox (V),Clean Rag (C),Instructions (C),White Ward (V),1,N
Coal Tower,Twins,2,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Small Game (V),Alex's Toolbox (V),Clean Rag (C),Instructions (C),White Ward (V),2,N
Eyrie of Crows,Ghostface,2,N,Borrowed Time (V),Iron Will (V),Kindred (V),Small Game (V),Camping Aid Kit (C),Gel Dressings (R),Surgical Suture (R),Fresh Primrose Blossom (U),0,N
Treatment Theatre,Nemesis,0,N,Borrowed Time (V),Iron Will (V),Kindred (V),Small Game (V),Camping Aid Kit (C),Gel Dressings (R),Medical Scissors (U),Fresh Crispleaf Amaranth (U),0,N
Mother's Dwelling,Executioner,0,N,Borrowed Time (V),Iron Will (V),Kindred (V),Small Game (V),Commodious Toolbox (R),Clean Rag (C),Instructions (C),Bog Laurel Sachet (C),1,N
Mount Ormond Resort,Trickster,0,N,Borrowed Time (V),Iron Will (V),Kindred (V),Small Game (V),Map (R),Odd Stamp (R),Retardant Jelly (U),Torn Blueprint (C),-1,N
Midwich Elementary School,Trickster,0,N,Borrowed Time (V),Iron Will (V),Kindred (V),Small Game (V),Camping Aid Kit (C),Needle & Thread (U),Butterfly Tape (C),Primrose Blossom Sachet (C),0,N
Father Campbell's Chapel,Hag,0,N,Borrowed Time (V),Iron Will (V),Kindred (V),We're Gonna Live Forever (V),Alex's Toolbox (V),Hacksaw (R),,Vigo's Jar of Salty Lips (V),0,N
Lampkin Lane,Spirit,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Camping Aid Kit (C),Rubber Gloves (C),Sponge (U),Vigo's Jar of Salty Lips (V),1,N
The Game,Nurse,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Camping Aid Kit (C),Rubber Gloves (C),Sponge (U),Vigo's Jar of Salty Lips (V),1,N
Dead Dawg Saloon,Executioner,3,N,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Toolbox (U),Clean Rag (C),Protective Gloves (U),Sweet William Sachet (C),1,N
Gas Heaven,Hag,4,N,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Camping Aid Kit (C),Rubber Gloves (C),Sponge (U),Crispleaf Amaranth Sachet (C),-1,N
Eyrie of Crows,Onryo,3,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Toolbox (U),Clean Rag (C),,Crispleaf Amaranth Sachet (C),1,N
The Pale Rose,Spirit,3,N,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Toolbox (U),,,Crispleaf Amaranth Sachet (C),0,N
Ironworks of Misery,Plague,1,N,Borrowed Time (V),Iron Will (V),Kindred (V),Resilience (V),Toolbox (U),,,Crispleaf Amaranth Sachet (C),0,N
Lampkin Lane,Pig,2,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (U),Engineer's Toolbox (V),,,Sweet William Sachet (C),1,N
Badham Preschool I,Blight,2,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (U),Engineer's Toolbox (V),,,Sweet William Sachet (C),0,N
Disturbed Ward,Twins,-1,N,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (U),Engineer's Toolbox (V),,,Charred Wedding Photograph (R),0,N
Suffocation Pit,Legion,1,N,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (R),,,,,0,N
Wreckers Yard,Trapper,2,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (R),Toolbox (U),Clean Rag (C),Instructions (C),Vigo's Jar of Salty Lips (V),0,N
Sanctum of Wrath,Ghostface,0,N,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (R),Toolbox (U),,,Crispleaf Amaranth Sachet (C),0,Y
Groaning Storehouse,Hag,1,N,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (R),Camping Aid Kit (C),Gel Dressings (R),Bandages (C),Sweet William Sachet (C),0,Y
Disturbed Ward,Hillbilly,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (V),First Aid Kit (U),Abdominal Dressing (R),Bandages (C),Ivory Chalk Pouch (R),2,N
Badham Preschool IV,Blight,3,N,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (V),First Aid Kit (U),Abdominal Dressing (R),Butterfly Tape (C),Vigo's Jar of Salty Lips (V),-1,Y
Grim Pantry,Nemesis,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (V),First Aid Kit (U),,,,0,Y
Coal Tower,Shape,0,N,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (V),First Aid Kit (U),Needle & Thread (U),,,-1,Y
Family Residence,Shape,2,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (V),Camping Aid Kit (C),,,,0,Y
Fractured Cowshed,Huntress,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (V),Camping Aid Kit (C),,,,0,Y
Ironworks of Misery,Onryo,1,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (V),First Aid Kit (U),Surgical Suture (R),Butterfly Tape (C),Escape! Cake (U),0,N
Eyrie of Crows,Pig,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (V),Commodious Toolbox (R),Hacksaw (R),Clean Rag (C),Shroud of Binding (V),1,N
Wreckers Yard,Trapper,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (V),Commodious Toolbox (R),Brand New Part (L),,Fresh Sweet William (U),0,N
Mount Ormond Resort,Huntress,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (V),Commodious Toolbox (R),Brand New Part (L),,Fresh Sweet William (U),1,N
Treatment Theatre,Doctor,4,Y,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (V),Commodious Toolbox (R),,,Fresh Primrose Blossom (U),1,N
Wretched Shop,Dredge,0,N,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (V),Commodious Toolbox (R),,,Escape! Cake (U),0,N
Garden of Joy,Wraith,0,N,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (V),First Aid Kit (U),Gel Dressings (R),Surgical Suture (R),Bloody Party Streamers (R),1,N
Grim Pantry,Dredge,3,N,Any Means Necessary (U),Iron Will (U),,,Emergency Med-Kit (R),Bandages (C),Rubber Gloves (C),Sealed Envelope (U),0,N
Dead Dawg Saloon,Cannibal,0,N,Any Means Necessary (U),Iron Will (U),Dead Hard (U),,Mechanics Toolbox (R),Instructions (C),,Sweet William Sachet (C),0,N
Gas Heaven,Dredge,0,N,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (V),First Aid Kit (U),Needle & Thread (U),Bandages (C),Fresh Bog Laurel (U),0,Y
Garden of Joy,Spirit,2,Y,Any Means Necessary (R),Iron Will (U),Dead Hard (U),,Camping Aid Kit (C),Surgical Suture (R),Self Adherent Wrap (U),Bog Laurel Sachet (C),1,N
Gas Heaven,Oni,4,Y,Any Means Necessary (R),Iron Will (R),Dead Hard (U),Resilience (U),Camping Aid Kit (C),Gauze Roll (U),Sponge (U),Sealed Envelope (U),1,N
Dead Dawg Saloon,Nurse,1,Y,Any Means Necessary (R),Iron Will (R),Dead Hard (U),Resilience (R),Toolbox (U),Cutting Wire (U),Socket Swivels (U),Vigo's Shroud (U),1,N
Suffocation Pit,Onryo,0,N,Any Means Necessary (R),Iron Will (R),Dead Hard (R),Resilience (R),First Aid Kit (U),Abdominal Dressing (R),Butterfly Tape (C),Escape! Cake (U),0,N
Dead Dawg Saloon,Doctor,0,N,Any Means Necessary (R),Iron Will (R),Dead Hard (R),Resilience (R),Sport Flashlight (R),Low Amp Filament (U),Tir Optic (U),Petrified Oak (V),0,N
Garden of Joy,Onryo,4,Y,Any Means Necessary (R),Iron Will (R),Dead Hard (R),Resilience (R),Flashlight (U),Power Bulb (C),Battery (C),Fresh Sweet William (U),0,N
Torment Creek,Cannibal,4,Y,Any Means Necessary (R),Iron Will (R),Dead Hard (R),Resilience (R),Flashlight (U),Power Bulb (C),Battery (C),Bog Laurel Sachet (C),2,N
Mother's Dwelling,Nightmare,3,Y,Any Means Necessary (R),Iron Will (R),Dead Hard (R),Resilience (R),Flashlight (U),Power Bulb (C),,Primrose Blossom Sachet (C),1,N
The Thompson House,Doctor,4,Y,Any Means Necessary (R),Iron Will (R),Dead Hard (R),Resilience (R),First Aid Kit (U),Bandages (C),Rubber Gloves (C),Primrose Blossom Sachet (C),0,N
Garden of Joy,Ghostface,4,Y,Any Means Necessary (R),Iron Will (R),Dead Hard (R),Resilience (R),First Aid Kit (U),Bandages (C),Rubber Gloves (C),Sweet William Sachet (C),1,N
Garden of Joy,Pig,1,Y,Any Means Necessary (R),Iron Will (R),Dead Hard (R),Resilience (R),First Aid Kit (U),Self Adherent Wrap (U),,Fresh Primrose Blossom (U),1,N
Ironworks of Misery,Ghostface,3,Y,Any Means Necessary (V),Spine Chill (R),Dead Hard (R),Resilience (V),First Aid Kit (U),Surgical Suture (R),Gauze Roll (U),Bloody Party Streamers (R),1,N
Garden of Joy,Dredge,3,Y,Any Means Necessary (V),Spine Chill (V),Dead Hard (R),Resilience (V),First Aid Kit (U),Gel Dressings (R),Medical Scissors (U),Escape! Cake (U),1,N
Garden of Joy,Nightmare,0,N,Any Means Necessary (V),Spine Chill (V),Dead Hard (V),Resilience (V),First Aid Kit (U),Bandages (C),Medical Scissors (U),Escape! Cake (U),-1,N
Raccoon City Police Station,Nurse,4,Y,Any Means Necessary (V),Spine Chill (V),Dead Hard (V),Resilience (V),Mechanics Toolbox (R),Hacksaw (R),Cutting Wire (U),Shroud of Binding (V),1,N
Mount Ormond Resort,Twins,0,N,Any Means Necessary (V),Spine Chill (V),Dead Hard (V),Resilience (V),Mechanics Toolbox (R),Brand New Part (L),Socket Swivels (U),Shroud of Binding (V),-1,N
Torment Creek,Nemesis,4,Y,Any Means Necessary (V),Spine Chill (V),Dead Hard (V),Resilience (V),Mechanics Toolbox (R),Hacksaw (R),Wire Spool (U),Escape! Cake (U),0,N
Disturbed Ward,Trapper,3,Y,Any Means Necessary (V),Spine Chill (V),Dead Hard (V),Resilience (V),First Aid Kit (U),Bandages (C),Butterfly Tape (C),Sealed Envelope (U),1,N
Dead Dawg Saloon,Cannibal,0,N,Any Means Necessary (V),Spine Chill (V),Dead Hard (V),Resilience (V),First Aid Kit (U),Bandages (C),Butterfly Tape (C),Fresh Sweet William (U),-1,N
Treatment Theatre,Wraith,1,N,Any Means Necessary (V),Spine Chill (V),Dead Hard (V),Resilience (V),First Aid Kit (U),Bandages (C),,Fresh Sweet William (U),-1,N
Grim Pantry,Doctor,4,Y,Any Means Necessary (V),Spine Chill (V),Dead Hard (V),Resilience (V),First Aid Kit (U),Bandages (C),Butterfly Tape (C),Fresh Sweet William (U),0,N
Coal Tower,Dredge,0,N,Any Means Necessary (V),Spine Chill (V),Dead Hard (V),Resilience (V),Flashlight (U),Long Life Battery (R),Heavy Duty Battery (U),Escape! Cake (U),-1,N
Coal Tower,Hag,4,Y,Any Means Necessary (V),Spine Chill (V),Dead Hard (V),Resilience (V),Flashlight (U),Long Life Battery (R),Heavy Duty Battery (U),Fresh Sweet William (U),0,N
Wretched Shop,Shape,0,N,Any Means Necessary (V),Spine Chill (V),Dead Hard (V),Resilience (V),Flashlight (U),Long Life Battery (R),Heavy Duty Battery (U),Fresh Sweet William (U),-1,N
Coal Tower,Spirit,3,Y,Any Means Necessary (V),Spine Chill (V),Dead Hard (V),Resilience (V),Ranger Med-Kit (V),Gel Dressings (R),Gauze Roll (U),Escape! Cake (U),0,N
Coal Tower,Spirit,0,N,Borrowed Time (V),Spine Chill (V),Dead Hard (V),Resilience (V),Ranger Med-Kit (V),Medical Scissors (U),Gauze Roll (U),Fragrant Primrose Blossom (R),0,N
Treatment Theatre,Plague,3,Y,Borrowed Time (V),Spine Chill (V),Iron Will (V),Resilience (V),Ranger Med-Kit (V),Surgical Suture (R),Bandages (C),Bloody Party Streamers (R),0,Y
Coal Tower,Oni,1,N,Borrowed Time (V),Spine Chill (V),Iron Will (V),Resilience (V),Ranger Med-Kit (V),Abdominal Dressing (R),Bandages (C),Petrified Oak (V),0,Y
Wreckers Yard,Spirit,3,Y,Borrowed Time (V),Spine Chill (V),Iron Will (V),Resilience (V),Toolbox (U),Hacksaw (R),Scraps (C),,1,N
Badham Preschool I,Nemesis,1,N,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (V),Emergency Med-Kit (R),,,,-1,Y
Ironworks of Misery,Ghostface,0,N,Borrowed Time (V),Iron Will (V),Kindred (V),Decisive Strike (V),Emergency Med-Kit (R),,,,0,Y
Blood Lodge,Doctor,2,Y,Borrowed Time (V),Iron Will (V),Dead Hard (V),Decisive Strike (V),Camping Aid Kit (C),,,,0,Y
Wreckers Yard,Nemesis,0,N,Borrowed Time (V),Spine Chill (V),Resilience (V),We're Gonna Live Forever (V),Rainbow Map (L),Black Silk Cord (R),Odd Stamp (R),Fragrant Sweet William (R),0,N
Rotten Fields,Doctor,3,N,Borrowed Time (V),Spine Chill (V),Resilience (V),We're Gonna Live Forever (V),Flashlight (U),Battery (C),Power Bulb (C),Fresh Sweet William (U),0,N
Dead Dawg Saloon,Ghostface,3,Y,Borrowed Time (V),Spine Chill (V),Resilience (V),We're Gonna Live Forever (V),Emergency Med-Kit (R),Surgical Suture (R),Gauze Roll (U),Fragrant Primrose Blossom (R),0,N
The Pale Rose,Ghostface,2,N,Borrowed Time (V),Spine Chill (V),Resilience (V),We're Gonna Live Forever (V),Rainbow Map (L),Odd Stamp (R),Unusual Stamp (U),Sealed Envelope (U),0,N
Wreckers Yard,Huntress,2,Y,Borrowed Time (V),Spine Chill (V),Resilience (V),We're Gonna Live Forever (V),Rainbow Map (L),Odd Stamp (R),Unusual Stamp (U),Sealed Envelope (U),0,N
Dead Dawg Saloon,Wraith,1,N,Saboteur (U),Breakout (V),Borrowed Time (V),Spine Chill (V),Toolbox (U),Hacksaw (R),Scraps (C),Bloody Party Streamers (R),0,N
Family Residence,Hillbilly,4,Y,Saboteur (U),Breakout (V),Borrowed Time (V),Spine Chill (V),Toolbox (U),Hacksaw (R),Scraps (C),Bloody Party Streamers (R),0,N
Garden of Joy,Dredge,0,N,Saboteur (R),Breakout (V),Borrowed Time (V),Spine Chill (V),Emergency Med-Kit (R),Gauze Roll (U),Medical Scissors (U),Bound Envelope (R),0,N
